nr_particles,resolutions,log_n_particles,inv_resolution_squared
225,3.317333,5.41610040220442,0.09087027911509353
450,2.653867,6.1092475827643655,0.1419847469160176
900,2.488,6.802394763324311,0.16154713040601318
1800,2.488,7.495541943884256,0.16154713040601318
3600,2.488,8.1886891244442,0.16154713040601318
7200,2.488,8.881836305004146,0.16154713040601318
7205,2.488,8.882530508433623,0.16154713040601318
